type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,04354P,華邦電康和18售02,TW22Z04354P6,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04355P,聯電元大1C售02,TW22Z04355P3,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043569,聯發科富邦18購01,TW21Z0435697,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04356P,台達電元大18售04,TW22Z04356P1,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04357P,長榮元大1C售03,TW22Z04357P9,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043582,台積電凱基18購02,TW21Z0435820,2021/08/30,上市,,RWSCCA
上市認購(售)權證,043583,台積電凱基18購03,TW21Z0435838,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04358P,長榮航元大18售15,TW22Z04358P7,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043592,聯詠凱基17購01,TW21Z0435929,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04359P,長榮航元大18售16,TW22Z04359P5,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04360P,台驊控元大18售04,TW22Z04360P3,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04361P,華航國票18售05,TW22Z04361P1,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04362P,萬海國票19售03,TW22Z04362P9,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04363P,長榮航國票19售07,TW22Z04363P7,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043645,台積電元大18購02,TW21Z0436455,2021/08/30,上市,,RWSCCA
上市認購(售)權證,043648,友達元大18購01,TW21Z0436489,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04364P,康普國票19售02,TW22Z04364P5,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043650,聯發科元大18購01,TW21Z0436505,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04365P,新唐國票19售03,TW22Z04365P2,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043660,聯詠元大18購01,TW21Z0436604,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04366P,台表科國票19售03,TW22Z04366P0,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04367P,台積電凱基1A售13,TW22Z04367P8,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04368P,玉晶光凱基18售05,TW22Z04368P6,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04369P,滬深2X元富18售03,TW22Z04369P4,2022/02/22,上市,,RWBCPE
上市認購(售)權證,04370P,台積電元富1B售11,TW22Z04370P2,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04371P,華邦電元富18售02,TW22Z04371P0,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04372P,南亞科元富18售04,TW22Z04372P8,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04373P,陽明元富18售12,TW22Z04373P6,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04374P,陽明元富1B售04,TW22Z04374P4,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04375P,華航元富18售09,TW22Z04375P1,2022/02/22,上市,,RWSCPE
上市認購(售)權證,04376P,華航元富1B售07,TW22Z04376P9,2022/02/22,上市,,RWSCPE
上市認購(售)權證,043776,台積電元大18購03,TW21Z0437768,2021/08/31,上市,,RWSCCA
上市認購(售)權證,043779,鴻準元大18購01,TW21Z0437792,2021/08/31,上市,,RWSCCA
上市認購(售)權證,04377P,南亞科中信18售01,TW22Z04377P7,2022/02/23,上市,,RWSCPE
上市認購(售)權證,043783,慧洋元大18購01,TW21Z0437834,2021/08/31,上市,,RWSCCA
上市認購(售)權證,04378P,陽明中信1A售01,TW22Z04378P5,2022/02/23,上市,,RWSCPE
上市認購(售)權證,043790,景碩元大18購01,TW21Z0437909,2021/08/31,上市,,RWSCCA
上市認購(售)權證,043797,同欣電元大18購01,TW21Z0437974,2021/08/31,上市,,RWSCCA
上市認購(售)權證,04379P,晶豪科中信18售03,TW22Z04379P3,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04380P,臺指2X群益18售01,TW22Z04380P1,2022/02/23,上市,,RWBCPE
上市認購(售)權證,043819,台灣50第一28購01,TW21Z0438196,2021/09/01,上市,,RWBCCA
上市認購(售)權證,04381P,世芯群益18售04,TW22Z04381P9,2022/02/23,上市,,RWSCPE
上市認購(售)權證,043820,友達第一18購01,TW21Z0438204,2021/09/01,上市,,RWSCCA
上市認購(售)權證,043821,群創第一18購01,TW21Z0438212,2021/09/01,上市,,RWSCCA
上市認購(售)權證,043823,大成鋼國泰18購01,TW21Z0438238,2021/09/01,上市,,RWSCCA
上市認購(售)權證,04382P,新唐凱基18售05,TW22Z04382P7,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04383P,華航統一18售10,TW22Z04383P5,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04384P,台灣50國票19售01,TW22Z04384P3,2022/02/23,上市,,RWBCPE
上市認購(售)權證,04385P,臺指2X國票19售01,TW22Z04385P0,2022/02/23,上市,,RWBCPE
上市認購(售)權證,04386P,長榮航國票18售08,TW22Z04386P8,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04387P,景碩國票19售02,TW22Z04387P6,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04388P,合勤控國票19售02,TW22Z04388P4,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04389P,晶心科國票18售02,TW22Z04389P2,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04390P,臺股指國票19售16,TW22Z04390P0,2022/02/23,上市,,RWICPE
上市認購(售)權證,04391P,臺股指國票1A售09,TW22Z04391P8,2022/02/23,上市,,RWICPE
上市認購(售)權證,04392P,華航元富18售12,TW22Z04392P6,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04393P,華航元富1B售10,TW22Z04393P4,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04394P,晶豪科元富18售02,TW22Z04394P2,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04395P,欣興元富18售04,TW22Z04395P9,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04396P,富采元富19售01,TW22Z04396P7,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04397P,宏達電康和18售02,TW22Z04397P5,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04398P,華航康和1A售03,TW22Z04398P3,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04399P,長榮航康和1A售03,TW22Z04399P1,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04400P,台積電富邦1B售08,TW22Z04400P7,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04401P,華通元大18售03,TW22Z04401P5,2022/02/23,上市,,RWSCPE
上市認購(售)權證,044026,台積電元大19購01,TW21Z0440267,2021/09/02,上市,,RWSCCA
上市認購(售)權證,04402P,金像電元大1C售02,TW22Z04402P3,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04403P,華航元大18售20,TW22Z04403P1,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04404P,玉晶光元大18售15,TW22Z04404P9,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04405P,台勝科元大18售12,TW22Z04405P6,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04406P,致新元大18售01,TW22Z04406P4,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04407P,世紀鋼元大18售06,TW22Z04407P2,2022/02/23,上市,,RWSCPE
上市認購(售)權證,04408P,台灣50中信19售01,TW22Z04408P0,2022/02/24,上市,,RWBCPE
上市認購(售)權證,044090,玉山金康和19購01,TW21Z0440903,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044091,台新金康和19購01,TW21Z0440911,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044092,大立光康和23購01,TW21Z0440929,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044093,大成鋼第一19購01,TW21Z0440937,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044094,鴻海第一23購01,TW21Z0440945,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044095,鴻海第一29購01,TW21Z0440952,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044096,富邦金第一29購01,TW21Z0440960,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044097,國泰金第一29購01,TW21Z0440978,2021/09/03,上市,,RWSCCA
上市認購(售)權證,04409P,華航國泰1A售05,TW22Z04409P8,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04410P,華邦電國票19售03,TW22Z04410P6,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04411P,華航統一18售11,TW22Z04411P4,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04412P,台灣50凱基18售07,TW22Z04412P2,2022/02/24,上市,,RWBCPE
上市認購(售)權證,044133,上緯控元富19購01,TW21Z0441331,2021/09/03,上市,,RWSCCA
上市認購(售)權證,04413P,台灣50凱基1A售07,TW22Z04413P0,2022/02/24,上市,,RWBCPE
上市認購(售)權證,04414P,台灣50凱基1A售08,TW22Z04414P8,2022/02/24,上市,,RWBCPE
上市認購(售)權證,04415P,華通凱基18售05,TW22Z04415P5,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04416P,強茂凱基18售04,TW22Z04416P3,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04417P,華航凱基1A售03,TW22Z04417P1,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04418P,台勝科凱基18售03,TW22Z04418P9,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04419P,致新凱基18售01,TW22Z04419P7,2022/02/24,上市,,RWSCPE
上市認購(售)權證,044203,富邦金元大19購01,TW21Z0442032,2021/09/03,上市,,RWSCCA
上市認購(售)權證,04420P,世紀鋼凱基18售02,TW22Z04420P5,2022/02/24,上市,,RWSCPE
上市認購(售)權證,044211,晶豪科元大19購01,TW21Z0442115,2021/09/03,上市,,RWSCCA
上市認購(售)權證,044215,祥碩元大19購01,TW21Z0442156,2021/09/03,上市,,RWSCCA
上市認購(售)權證,04421P,臺股指凱基1B售06,TW22Z04421P3,2022/02/24,上市,,RWICPE
上市認購(售)權證,044228,允強國泰19購01,TW21Z0442289,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04422P,臺股指凱基1B售07,TW22Z04422P1,2022/02/24,上市,,RWICPE
上市認購(售)權證,04423P,旺宏元富18售01,TW22Z04423P9,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04424P,萬海元富18售06,TW22Z04424P7,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04425P,南電元富18售01,TW22Z04425P4,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04426P,長榮航群益18售09,TW22Z04426P2,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04427P,台積電元大18售43,TW22Z04427P0,2022/02/24,上市,,RWSCPE
上市認購(售)權證,044284,聯詠凱基18購02,TW21Z0442842,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04428P,陽明元大18售30,TW22Z04428P8,2022/02/24,上市,,RWSCPE
上市認購(售)權證,04429P,華航元大18售23,TW22Z04429P6,2022/02/24,上市,,RWSCPE
上市認購(售)權證,044309,鴻海康和19購01,TW21Z0443097,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04430P,臺股指中信19售20,TW22Z04430P4,2022/02/25,上市,,RWICPE
上市認購(售)權證,044310,台積電康和19購01,TW21Z0443105,2021/09/06,上市,,RWSCCA
上市認購(售)權證,044311,台積電康和19購02,TW21Z0443113,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04431P,東森群益18售03,TW22Z04431P2,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04432P,宏達電元大18售13,TW22Z04432P0,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04433P,嘉澤元大18售03,TW22Z04433P8,2022/02/25,上市,,RWSCPE
上市認購(售)權證,044349,聯電元大19購01,TW21Z0443493,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04434P,國巨元富18售10,TW22Z04434P6,2022/02/25,上市,,RWSCPE
上市認購(售)權證,044354,聯發科元大19購01,TW21Z0443543,2021/09/06,上市,,RWSCCA
上市認購(售)權證,04435P,國巨元富18售11,TW22Z04435P3,2022/02/25,上市,,RWSCPE
上市認購(售)權證,044365,世芯元大19購01,TW21Z0443659,2021/09/06,上市,,RWSCCA
